c0;c1;c2;c3;c4;c5;
1;5 10 15 20 25 4 10;5;10;15;20;25;4;10
2;10 15 20 25 30 3 8;10;15;20;25;30;3;8
3;15 20 25 30 35 5 6;15;20;25;30;35;5;6
4;30 35 40 45 50 2 10;30;35;40;45;50;2;10
5;30 34 38 42 46 2 10;30;34;38;42;46;2;10
6;26 32 38 44 50 1 7;26;32;38;44;50;1;7
7;1 2 3 4 5 2 9;1;2;3;4;5;2;9
8;6 7 8 9 10 2 6;6;7;8;9;10;2;6
9;11 12 13 14 15 10 11;11;12;13;14;15;10;11
10;16 17 18 19 20 3 8;16;17;18;19;20;3;8
11;21 22 23 24 25 1 10;21;22;23;24;25;1;10
12;26 27 28 29 30 4 9;26;27;28;29;30;4;9
13;31 32 33 34 35 7 10;31;32;33;34;35;7;10
14;36 37 38 39 40 5 7;36;37;38;39;40;5;7
15;41 42 43 44 45 5 11;41;42;43;44;45;5;11
16;46 47 48 49 50 7 10;46;47;48;49;50;7;10
17;7 12 17 22 27 3 4;7;12;17;22;27;3;4
18;8 13 18 23 28 5 6;8;13;18;23;28;5;6
19;9 14 19 24 29 3 10;9;14;19;24;29;3;10
20;10 15 20 25 30 2 5;10;15;20;25;30;2;5
21;23 28 33 38 43 2 10;23;28;33;38;43;2;10
22;12 17 22 27 32 4 11;12;17;22;27;32;4;11
23;4 22 25 36 40 5 10;4;22;25;36;40;5;10
24;7 12 17 22 27 3 10;7;12;17;22;27;3;10
25;25 29 33 37 41 3 10;25;29;33;37;41;3;10
26;16 22 28 34 40 1 9;16;22;28;34;40;1;9
27;11 17 23 29 35 5 10;11;17;23;29;35;5;10
28;4 14 24 34 44 4 8;4;14;24;34;44;4;8
29;16 22 28 34 40 5 11;16;22;28;34;40;5;11
30;30 34 38 42 46 1 10;30;34;38;42;46;1;10
31;11 16 21 26 31 4 5;11;16;21;26;31;4;5
32;12 17 22 27 32 2 6;12;17;22;27;32;2;6
33;1 2 3 4 5 4 9;1;2;3;4;5;4;9
34;29 34 39 44 49 2 7;29;34;39;44;49;2;7
35;17 22 27 32 37 2 9;17;22;27;32;37;2;9
36;10 14 18 22 26 2 11;10;14;18;22;26;2;11
37;15 19 23 27 31 4 5;15;19;23;27;31;4;5
38;20 24 28 32 36 6 11;20;24;28;32;36;6;11
39;25 30 35 40 45 1 10;25;30;35;40;45;1;10
40;21 26 31 36 41 4 9;21;26;31;36;41;4;9
41;1 5 28 46 50 8 9;1;5;28;46;50;8;9
42;22 27 32 37 42 8 9;22;27;32;37;42;8;9
43;5 10 15 20 25 1 2;5;10;15;20;25;1;2
44;41 42 43 44 45 1 10;41;42;43;44;45;1;10
45;2 9 12 13 19 3 8;2;9;12;13;19;3;8
46;8 13 18 23 28 2 6;8;13;18;23;28;2;6
47;1 2 3 4 5 1 3;1;2;3;4;5;1;3
48;21 27 33 39 45 4 9;21;27;33;39;45;4;9
49;16 22 28 34 40 5 6;16;22;28;34;40;5;6
50;11 17 23 29 35 5 11;11;17;23;29;35;5;11
51;6 12 18 24 30 2 4;6;12;18;24;30;2;4
52;1 7 13 19 25 4 10;1;7;13;19;25;4;10
53;26 32 38 44 50 2 9;26;32;38;44;50;2;9
54;21 27 33 39 45 4 10;21;27;33;39;45;4;10
55;30 34 38 42 46 2 5;30;34;38;42;46;2;5
56;25 29 33 37 41 7 8;25;29;33;37;41;7;8
